position_x,position_y,position_z
6.124177928167870988e-01,-4.530852534347191707e-01,1.628415807780894675e-01
6.124576004349644442e-01,-4.528616900609299667e-01,1.627807104764029678e-01
6.124983304183555521e-01,-4.526379050106836832e-01,1.627230072917966730e-01
6.125399850932037316e-01,-4.524164881110053771e-01,1.626677577935390917e-01
6.125800616721031044e-01,-4.521968893705781700e-01,1.626112300693767498e-01
6.126214860065840595e-01,-4.519785518798580815e-01,1.625552994966589226e-01
6.126623796935314337e-01,-4.517601353312511447e-01,1.624964635147759795e-01
6.127026992092937663e-01,-4.515449884015405591e-01,1.624348066525990175e-01
6.127415685282511237e-01,-4.513398077371219008e-01,1.623745958773075704e-01
6.127755826126715100e-01,-4.511450799490031027e-01,1.623168047267704861e-01
6.128060560750209218e-01,-4.509549134137680326e-01,1.622604298882788232e-01
6.128388027839665186e-01,-4.507631269629946980e-01,1.622032543706947716e-01
6.128736613724696802e-01,-4.505661653862849114e-01,1.621411826658821220e-01
6.129078050401099986e-01,-4.503656141260502510e-01,1.620754907043825410e-01
6.129396301517234802e-01,-4.501602374526924022e-01,1.620049353099131118e-01
6.129662576931916851e-01,-4.499517323199082597e-01,1.619288686649975051e-01
6.129871717720338786e-01,-4.497426411893462594e-01,1.618483350380033881e-01
6.130031828459053811e-01,-4.495361049335841463e-01,1.617682707222309890e-01
6.130163490606665988e-01,-4.493301112925316421e-01,1.616888283747264787e-01
6.130280871721255354e-01,-4.491240419862778666e-01,1.616100613928679597e-01
6.130384944300951711e-01,-4.489178943147049128e-01,1.615306252280008792e-01
6.130432300587050909e-01,-4.487121865053176339e-01,1.614475298197748654e-01
6.130363200809982871e-01,-4.485046736217427887e-01,1.613575392531853558e-01
6.130213240423748600e-01,-4.483050437138021982e-01,1.612701552717469844e-01
6.129980286406793155e-01,-4.481192717825368543e-01,1.611898173476616625e-01
6.129631516446062411e-01,-4.479359135207165443e-01,1.611098571661859213e-01
6.129163149759632168e-01,-4.477499478456346549e-01,1.610278858732686058e-01
6.128658912320879004e-01,-4.475608285615972348e-01,1.609463404896957772e-01
6.128073834609533144e-01,-4.473678596111658190e-01,1.608602492553838359e-01
6.127422432379624473e-01,-4.471768164106521004e-01,1.607698675662028176e-01
6.126758523921449484e-01,-4.469936344015975060e-01,1.606834842364010529e-01
6.126103066284853682e-01,-4.468167293073694868e-01,1.606026970594622849e-01
6.125370988550759010e-01,-4.466334543826893100e-01,1.605149259051826260e-01
6.124620601658838925e-01,-4.464469477240849415e-01,1.604219893753364712e-01
6.123885797067297743e-01,-4.462596638640793922e-01,1.603242756475338759e-01
6.123102824366546404e-01,-4.460736123884220805e-01,1.602200999151556227e-01
6.122284367969531571e-01,-4.458957320579934880e-01,1.601183384478748750e-01
6.121403617807871234e-01,-4.457213877833464122e-01,1.600211090622415400e-01
6.120449054701080360e-01,-4.455391878062414657e-01,1.599191766680517213e-01
6.119453222854424057e-01,-4.453517138051804602e-01,1.598131189546605491e-01
6.118455247389895657e-01,-4.451667221096251570e-01,1.597076118919596444e-01
6.117429212526669380e-01,-4.449841712292294527e-01,1.596016341664581173e-01
6.116299940554698056e-01,-4.448087794635633974e-01,1.595005413427172114e-01
6.115042483626090819e-01,-4.446391857288896632e-01,1.593991159953385139e-01
6.113746574705712922e-01,-4.444652803924746820e-01,1.592901814620295842e-01
6.112432486102431506e-01,-4.442907601710431309e-01,1.591808577118228318e-01
6.111027979405596611e-01,-4.441133504429796708e-01,1.590755368557957572e-01
6.109545310224209214e-01,-4.439310321878050525e-01,1.589701462222856687e-01
6.108079278179254779e-01,-4.437475176695747092e-01,1.588629278446195281e-01
6.106563311291182128e-01,-4.435595608114672461e-01,1.587468998947845489e-01
6.104976152740220208e-01,-4.433737974237522139e-01,1.586296174635203615e-01
6.103442109696389783e-01,-4.431940249101601337e-01,1.585174652406872164e-01
6.101927706390153361e-01,-4.430131529977964222e-01,1.584026864365730702e-01
6.100383279594930874e-01,-4.428269158750584022e-01,1.582847267971060345e-01
6.098821253994131109e-01,-4.426360777323116169e-01,1.581635424477634277e-01
6.097350062990825048e-01,-4.424459814826345871e-01,1.580423046973333245e-01
6.095953456723003372e-01,-4.422602847443383167e-01,1.579234037198132268e-01
6.094535445753145320e-01,-4.420687534401216423e-01,1.577986878534632931e-01
6.093176031898284162e-01,-4.418721105300828511e-01,1.576707624416482934e-01
6.091894646766409238e-01,-4.416728875790441045e-01,1.575390511170821906e-01
6.090623958899840096e-01,-4.414719678342719500e-01,1.574051896107596382e-01
6.089291779094392343e-01,-4.412749985335931990e-01,1.572738712668197425e-01
6.087924806579475545e-01,-4.410712903403641305e-01,1.571377012898844683e-01
6.086592660336528349e-01,-4.408638689483100892e-01,1.569972765069648224e-01
6.085332458987086079e-01,-4.406589280889651739e-01,1.568572864501083242e-01
6.084085378057740856e-01,-4.404557796451133989e-01,1.567180159627356850e-01
6.082805327254823258e-01,-4.402432901979239643e-01,1.565719062863048239e-01
6.081592303113845244e-01,-4.400228315058180018e-01,1.564205913694400041e-01
6.080487008824091433e-01,-4.398103097064094968e-01,1.562755179562335950e-01
6.079452754519302227e-01,-4.396010653561532866e-01,1.561337158942764369e-01
6.078411645859420620e-01,-4.393867453416072655e-01,1.559848402086571051e-01
6.077398910611222504e-01,-4.391683010021525946e-01,1.558330753563564042e-01
6.076480421450369818e-01,-4.389581551263628256e-01,1.556889395712447444e-01
6.075601110856732046e-01,-4.387408123411348226e-01,1.555376969312962654e-01
6.074760138839689905e-01,-4.385146234247996877e-01,1.553760668122299848e-01
6.074053077317175253e-01,-4.382831184349459397e-01,1.552093696656261235e-01
6.073497824960100155e-01,-4.380566076655758034e-01,1.550461381216859946e-01
6.072998459180437569e-01,-4.378235678039133494e-01,1.548765335072707361e-01
6.072481989356499632e-01,-4.375846810989470481e-01,1.546992360632902241e-01
6.072000825126807610e-01,-4.373475918424927777e-01,1.545258152922688866e-01
6.071523587523488530e-01,-4.371187344223994020e-01,1.543580729751438119e-01
6.070985795479135749e-01,-4.368803805540677487e-01,1.541805357840970447e-01
6.070449593638739261e-01,-4.366366025813678275e-01,1.539997759295246293e-01
6.069998198204707984e-01,-4.363960835718655451e-01,1.538272336666274553e-01
6.069512131594496651e-01,-4.361561432197684773e-01,1.536541808967929468e-01
6.069001968453278106e-01,-4.359094532681678791e-01,1.534768164558089065e-01
6.068520845704112876e-01,-4.356679141068147132e-01,1.533049602029219471e-01
6.068071175523405136e-01,-4.354240143852328715e-01,1.531344238307866257e-01
6.067555752727327167e-01,-4.351728694765329419e-01,1.529539579829558571e-01
